                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1145,                 4.6682,                 2.1312,                0.20213,                0.23972,                0.19848,                0.07331,                 1.8289,                 5.8277,                 1.9965,                0.00018,                0.00018,                0.00018
                      2,                  1.849,                 3.5758,                 1.7597,                0.64499,                0.22484,                0.24927,                0.09336,                 1.9027,                 8.0404,                 2.0882,             0.00036267,             0.00036267,             0.00036267
                      3,                 1.7786,                  3.105,                 1.7184,                0.23604,                0.23167,                0.10687,                 0.0475,                  1.903,                 5.9728,                 2.1142,             0.00053782,             0.00053782,             0.00053782
                      4,                 1.7138,                 2.9869,                 1.6334,                0.56025,                  0.165,                0.18589,                0.08323,                 1.8457,                 4.2959,                 2.0909,             0.00070545,             0.00070545,             0.00070545
                      5,                 1.8866,                 3.3958,                 1.7484,                  0.875,                0.04167,                0.06159,                0.02106,                 2.1306,                 26.928,                 2.8461,             0.00086555,             0.00086555,             0.00086555
                      6,                 1.9318,                 3.2317,                 1.8847,                0.23112,                 0.3725,                0.13776,                0.03911,                 1.9616,                 9.6445,                 2.4363,               0.000901,               0.000901,               0.000901
                      7,                 1.8915,                 3.0039,                 1.8023,                0.26217,                0.08497,                0.06895,                0.03249,                 2.1401,                 4.0641,                 2.5666,               0.000901,               0.000901,               0.000901
                      8,                 1.7631,                 2.7973,                 1.7601,                0.38598,                0.15556,                0.05591,                0.02753,                 1.9679,                 4.2806,                 2.3249,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.7497,                 2.5567,                 1.7636,                0.28355,                0.25389,                0.10525,                0.04108,                 1.9481,                 4.2968,                 2.3984,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.8024,                 2.5378,                 1.7991,                0.39323,                0.39222,                0.19161,                0.10729,                 1.8645,                 3.7344,                 2.0929,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.7591,                 2.5056,                 1.7203,                0.18799,                0.33984,                0.19087,                0.11739,                 1.8166,                 3.4139,                 2.0824,              0.0008218,              0.0008218,              0.0008218
                     12,                  1.762,                  2.395,                 1.7106,                 0.2727,                0.35454,                0.18156,                0.07734,                 2.0724,                 3.9078,                 2.2741,               0.000802,               0.000802,               0.000802
                     13,                 1.8492,                 2.4185,                  1.886,                0.29726,                0.35902,                0.23401,                0.09295,                 1.8954,                 3.8943,                 2.2122,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.7387,                 2.1308,                 1.7279,                0.28875,                0.26806,                0.23785,                0.10126,                  1.962,                 3.5264,                 2.3492,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.7428,                 2.2365,                 1.7277,                0.21521,                0.32728,                0.18606,                0.08726,                 1.9569,                 5.0248,                 2.3364,              0.0007426,              0.0007426,              0.0007426
                     16,                    1.7,                 2.0694,                 1.7077,                0.49014,                0.21167,                0.30738,                0.14682,                 1.8918,                 3.5408,                  2.176,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.6542,                 2.0913,                 1.6856,                0.56589,                0.42821,                 0.3983,                 0.1979,                 1.7616,                 3.4655,                  2.017,               0.000703,               0.000703,               0.000703
                     18,                 1.6525,                 1.8734,                 1.7471,                0.36599,                0.40272,                0.24555,                0.13076,                 1.8236,                 2.7437,                 2.0423,              0.0006832,              0.0006832,              0.0006832
                     19,                 1.6562,                 2.0799,                 1.7396,                0.24172,                0.39315,                0.23332,                0.09628,                 1.8051,                   3.94,                 2.1707,              0.0006634,              0.0006634,              0.0006634
                     20,                  1.721,                 1.9586,                 1.7393,                0.34481,                0.51001,                0.32824,                0.14882,                 1.8896,                 2.7347,                 2.1345,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.5558,                 1.7584,                  1.601,                0.22708,                0.55633,                0.31276,                0.14347,                 1.8664,                 2.5351,                 2.0983,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.6235,                  1.822,                 1.6615,                0.43298,                0.43985,                0.42732,                0.20781,                 1.7453,                 2.2881,                 1.9765,               0.000604,               0.000604,               0.000604
                     23,                 1.5548,                 1.9487,                 1.5943,                0.27091,                0.50329,                0.39666,                0.18124,                 1.8541,                 2.2387,                  2.121,              0.0005842,              0.0005842,              0.0005842
                     24,                 1.6249,                 1.8569,                 1.7155,                0.45862,                0.46444,                 0.3645,                0.15372,                 1.7942,                 2.4446,                 2.0933,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.5441,                 1.7905,                 1.6695,                0.22596,                0.48407,                0.37131,                0.16798,                 1.9486,                 2.4704,                  2.168,              0.0005446,              0.0005446,              0.0005446
                     26,                 1.4266,                 1.6675,                 1.5655,                 0.3512,                0.41952,                0.34932,                0.14357,                 1.8552,                  2.521,                 2.0924,              0.0005248,              0.0005248,              0.0005248
                     27,                 1.4686,                 1.6815,                 1.5808,                0.38694,                0.51293,                0.38058,                0.17197,                 1.7825,                 2.4151,                 2.0101,               0.000505,               0.000505,               0.000505
                     28,                 1.4365,                 1.5666,                 1.5322,                0.34721,                0.46514,                0.41679,                 0.1766,                 1.9288,                 2.3091,                 2.2067,              0.0004852,              0.0004852,              0.0004852
                     29,                 1.3201,                 1.3788,                  1.462,                0.35015,                0.46835,                0.36495,                0.15624,                 1.9105,                 2.6823,                 2.2037,              0.0004654,              0.0004654,              0.0004654
                     30,                 1.3873,                 1.3802,                 1.4739,                0.33033,                  0.618,                0.36952,                0.17496,                 1.9056,                 2.4139,                 2.1675,              0.0004456,              0.0004456,              0.0004456
                     31,                 1.3441,                 1.4752,                 1.4457,                0.33527,                0.48652,                0.35397,                 0.1774,                 1.8239,                  2.267,                 2.1543,              0.0004258,              0.0004258,              0.0004258
                     32,                 1.4307,                 1.4832,                 1.5185,                 0.5274,                0.32316,                0.38539,                 0.1969,                 1.7913,                 2.5347,                 2.1409,               0.000406,               0.000406,               0.000406
                     33,                 1.2397,                 1.3063,                 1.4108,                0.38474,                0.41639,                0.42018,                0.20226,                 1.8353,                 2.3506,                 2.1048,              0.0003862,              0.0003862,              0.0003862
                     34,                 1.3677,                 1.4028,                 1.4486,                0.47004,                0.44117,                0.38324,                0.19208,                 1.7939,                  2.292,                 2.0305,              0.0003664,              0.0003664,              0.0003664
                     35,                 1.3167,                 1.2504,                 1.4263,                0.40946,                0.49883,                0.47678,                0.24887,                   1.71,                 2.0654,                 1.9507,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.1702,                 1.1944,                 1.3614,                0.37732,                0.61361,                0.46421,                 0.2202,                 1.8936,                 2.1779,                  2.138,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.2176,                 1.2574,                 1.4271,                0.61392,                0.48113,                0.45459,                0.19819,                 1.9123,                 2.1746,                 2.1681,               0.000307,               0.000307,               0.000307
                     38,                  1.221,                 1.1987,                 1.4501,                0.58927,                0.46778,                0.48871,                0.21308,                 1.8758,                 2.1526,                 2.1506,              0.0002872,              0.0002872,              0.0002872
                     39,                  1.209,                 1.1816,                 1.4095,                0.63789,                0.45037,                0.49723,                0.24334,                 1.8575,                 2.2723,                 2.1195,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.1945,                 1.1845,                 1.3637,                0.53153,                0.54478,                0.44977,                0.24359,                 1.8715,                 2.2396,                  2.121,              0.0002476,              0.0002476,              0.0002476
                     41,                  1.137,                 1.2842,                 1.3962,                0.60665,                 0.3805,                 0.4064,                0.22911,                 1.9507,                 2.4715,                  2.194,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.1555,                 1.0914,                 1.4105,                 0.5403,                0.37688,                 0.3961,                0.19813,                 1.9655,                 2.5084,                 2.2012,               0.000208,               0.000208,               0.000208
                     43,                 1.1278,                 1.0783,                 1.4039,                  0.293,                0.51392,                 0.3997,                0.18203,                 1.9772,                 2.4303,                 2.2355,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.0346,                0.98371,                  1.334,                0.54496,                 0.4849,                 0.4215,                0.16747,                 1.9774,                 2.5212,                  2.279,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.0185,                0.95855,                 1.2775,                0.39934,                0.44868,                0.41601,                0.16855,                 1.9696,                 2.3902,                 2.2969,              0.0001486,              0.0001486,              0.0001486
                     46,                 1.0066,                0.92714,                 1.3271,                 0.3908,                0.41333,                0.38542,                0.15788,                 1.9012,                   2.31,                 2.2561,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.0356,                 0.9326,                 1.3166,                0.41865,                0.42722,                0.40632,                0.18797,                 1.8692,                 2.2206,                 2.2369,               0.000109,               0.000109,               0.000109
                     48,                 0.9824,                0.92714,                 1.2867,                0.41719,                 0.4366,                0.44843,                0.19744,                   1.85,                 2.2682,                  2.201,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.99776,                0.86897,                 1.3161,                0.57134,                0.45115,                0.46981,                0.21443,                 1.8666,                 2.3387,                 2.2521,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.91903,                0.88506,                 1.2307,                0.65243,                0.39417,                0.48102,                0.22405,                 1.8612,                 2.3369,                 2.2534,               4.96e-05,               4.96e-05,               4.96e-05
